cell_id,condition,auc,focus_sensitivity_set
DREADD/CNO__r1__sNA,DREADD_CNO,1907.5,False
DREADD/CNO__r2__sNA,DREADD_CNO,1767.5,False
DREADD/CNO__r3__sNA,DREADD_CNO,942.5,False
DREADD/CNO__r4__sNA,DREADD_CNO,1290.0,False
DREADD/CNO__r5__sNA,DREADD_CNO,1147.5,False
DREADD/CNO__r6__sNA,DREADD_CNO,2135.0,False
DREADD/CNO__r7__sNA,DREADD_CNO,1190.0,False
DREADD/CNO__r8__sNA,DREADD_CNO,1795.0,False
DREADD/CNO__r9__sNA,DREADD_CNO,1467.5,False
DREADD/CNO__r10__sNA,DREADD_CNO,1372.5,False
DREADD/CNO__r11__sNA,DREADD_CNO,1400.0,False
DREADD/CNO__r12__sNA,DREADD_CNO,1660.0,True
LMO7/hCTZ__r1__sNA,LMO7_hCTZ,1242.5,False
LMO7/hCTZ__r2__sNA,LMO7_hCTZ,1567.5,False
LMO7/hCTZ__r3__sNA,LMO7_hCTZ,632.5,True
LMO7/hCTZ__r4__sNA,LMO7_hCTZ,1572.5,False
LMO7/hCTZ__r5__sNA,LMO7_hCTZ,1412.5,False
LMO7/hCTZ__r6__sNA,LMO7_hCTZ,1285.0,False
LMO7/hCTZ__r7__sNA,LMO7_hCTZ,1340.0,True
LMO7/hCTZ__r8__sNA,LMO7_hCTZ,1590.0,False
LMO7/hCTZ__r9__sNA,LMO7_hCTZ,1572.5,False
PSAM/uPSEM__r1__sNA,PSAM_uPSEM,1165.0,True
PSAM/uPSEM__r2__sNA,PSAM_uPSEM,1915.0,False
PSAM/uPSEM__r3__sNA,PSAM_uPSEM,947.5,False
PSAM/uPSEM__r4__sNA,PSAM_uPSEM,972.5,False
PSAM/uPSEM__r5__sNA,PSAM_uPSEM,967.5,False
PSAM/uPSEM__r6__sNA,PSAM_uPSEM,905.0,False
PSAM/uPSEM__r7__sNA,PSAM_uPSEM,842.5,False
PSAM/uPSEM__r8__sNA,PSAM_uPSEM,1007.5,False
PSAM/uPSEM__r9__sNA,PSAM_uPSEM,2035.0,False
PSAM/uPSEM__r10__sNA,PSAM_uPSEM,1020.0,False
PSAM/uPSEM__r11__sNA,PSAM_uPSEM,895.0,False
PSAM/uPSEM__r12__sNA,PSAM_uPSEM,1505.0,False
CONTROL/MEDIA__r1__sNA,EYFP_Control_Media,1367.5,False
CONTROL/MEDIA__r2__sNA,EYFP_Control_Media,640.0,False
CONTROL/MEDIA__r3__sNA,EYFP_Control_Media,917.5,False
CONTROL/MEDIA__r4__sNA,EYFP_Control_Media,995.0,False
CONTROL/MEDIA__r5__sNA,EYFP_Control_Media,1680.0,True
CONTROL/MEDIA__r6__sNA,EYFP_Control_Media,907.5,False
CONTROL/MEDIA__r7__sNA,EYFP_Control_Media,1447.5,True
CONTROL/MEDIA__r8__sNA,EYFP_Control_Media,2022.5,True
CONTROL/MEDIA__r9__sNA,EYFP_Control_Media,950.0,False
CONTROL/MEDIA__r10__sNA,EYFP_Control_Media,2057.5,True
CONTROL/MEDIA__r11__sNA,EYFP_Control_Media,1312.5,False
