condition,replicate,cell_label,auc,fold_change_vs_reference
DREADD_CNO,1,Cell 1,1907.5,1.4533333333333334
DREADD_CNO,2,Cell 2,1767.5,1.3466666666666667
DREADD_CNO,3,Cell 3,942.5,0.7180952380952381
DREADD_CNO,4,Cell 4,1290.0,0.9828571428571429
DREADD_CNO,5,Cell 5,1147.5,0.8742857142857143
DREADD_CNO,6,Cell 6,2135.0,1.6266666666666667
DREADD_CNO,7,Cell 7,1190.0,0.9066666666666666
DREADD_CNO,8,Cell 8,1795.0,1.3676190476190475
DREADD_CNO,9,Cell 9,1467.5,1.118095238095238
DREADD_CNO,10,Cell 10,1372.5,1.0457142857142858
DREADD_CNO,11,Cell 11,1400.0,1.0666666666666667
DREADD_CNO,12,Cell 12,1660.0,1.2647619047619048
EYFP_Control_Media,1,Cell 1,1367.5,1.041904761904762
EYFP_Control_Media,2,Cell 2,640.0,0.4876190476190476
EYFP_Control_Media,3,Cell 3,917.5,0.699047619047619
EYFP_Control_Media,4,Cell 4,995.0,0.758095238095238
EYFP_Control_Media,5,Cell 5,1680.0,1.28
EYFP_Control_Media,6,Cell 6,907.5,0.6914285714285714
EYFP_Control_Media,7,Cell 7,1447.5,1.1028571428571428
EYFP_Control_Media,8,Cell 8,2022.5,1.5409523809523809
EYFP_Control_Media,9,Cell 9,950.0,0.7238095238095238
EYFP_Control_Media,10,Cell 10,2057.5,1.5676190476190477
EYFP_Control_Media,11,Cell 11,1312.5,1.0
LMO7_hCTZ,1,Cell 1,1242.5,0.9466666666666667
LMO7_hCTZ,2,Cell 2,1567.5,1.1942857142857144
LMO7_hCTZ,3,Cell 3,632.5,0.4819047619047619
LMO7_hCTZ,4,Cell 4,1572.5,1.198095238095238
LMO7_hCTZ,5,Cell 5,1412.5,1.0761904761904761
LMO7_hCTZ,6,Cell 6,1285.0,0.979047619047619
LMO7_hCTZ,7,Cell 7,1340.0,1.020952380952381
LMO7_hCTZ,8,Cell 8,1590.0,1.2114285714285715
LMO7_hCTZ,9,Cell 9,1572.5,1.198095238095238
PSAM_uPSEM,1,Cell 1,1165.0,0.8876190476190476
PSAM_uPSEM,2,Cell 2,1915.0,1.4590476190476191
PSAM_uPSEM,3,Cell 3,947.5,0.7219047619047619
PSAM_uPSEM,4,Cell 4,972.5,0.7409523809523809
PSAM_uPSEM,5,Cell 5,967.5,0.7371428571428571
PSAM_uPSEM,6,Cell 6,905.0,0.6895238095238095
PSAM_uPSEM,7,Cell 7,842.5,0.6419047619047619
PSAM_uPSEM,8,Cell 8,1007.5,0.7676190476190476
PSAM_uPSEM,9,Cell 9,2035.0,1.5504761904761906
PSAM_uPSEM,10,Cell 10,1020.0,0.7771428571428571
PSAM_uPSEM,11,Cell 11,895.0,0.6819047619047619
PSAM_uPSEM,12,Cell 12,1505.0,1.1466666666666667
