condition,replicate,cell_label,auc,fold_change_vs_reference
DREADD_Vehicle,1,Cell 1,1487.5,0.8445706174591909
DREADD_Vehicle,2,Cell 2,2450.0,1.3910574875798438
DREADD_Vehicle,3,Cell 3,1680.0,0.9538679914833215
DREADD_Vehicle,4,Cell 4,1905.0,1.0816181689141235
DREADD_Vehicle,5,Cell 5,1442.5,0.8190205819730305
DREADD_Vehicle,6,Cell 6,1747.5,0.9921930447125621
DREADD_Vehicle,7,Cell 7,1155.0,0.6557842441447835
DREADD_Vehicle,8,Cell 8,1420.0,0.8062455642299503
DREADD_Vehicle,9,Cell 9,1845.0,1.0475514549325764
EYFP_Control,1,Cell 1,1662.5,0.9439318665720369
EYFP_Control,2,Cell 2,1440.0,0.8176011355571328
EYFP_Control,3,Cell 3,3330.0,1.8907026259758695
EYFP_Control,4,Cell 4,2645.0,1.5017743080198722
EYFP_Control,5,Cell 5,1710.0,0.9709013484740951
EYFP_Control,6,Cell 6,2940.0,1.6692689850958127
EYFP_Control,7,Cell 7,2820.0,1.6011355571327182
EYFP_Control,8,Cell 8,1397.5,0.7934705464868701
EYFP_Control,9,Cell 9,2527.5,1.4350603264726756
EYFP_Control,10,Cell 10,1665.0,0.9453513129879347
EYFP_Control,11,Cell 11,1085.0,0.6160397444996452
EYFP_Control,12,Cell 12,1812.5,1.0290986515259049
LMO7_Vehicle,1,Cell 1,1527.5,0.8672817601135557
LMO7_Vehicle,2,Cell 2,2160.0,1.226401703335699
LMO7_Vehicle,3,Cell 3,2045.0,1.1611071682044003
LMO7_Vehicle,4,Cell 4,1655.0,0.9396735273243435
LMO7_Vehicle,5,Cell 5,2987.5,1.6962384669978707
LMO7_Vehicle,6,Cell 6,1315.0,0.7466288147622427
LMO7_Vehicle,7,Cell 7,1610.0,0.9141234918381831
LMO7_Vehicle,8,Cell 8,1695.0,0.9623846699787083
LMO7_Vehicle,9,Cell 9,617.5,0.35060326472675657
LMO7_Vehicle,10,Cell 10,2190.0,1.2434350603264728
LMO7_Vehicle,11,Cell 11,1592.5,0.9041873669268985
PSAM_Vehicle,1,Cell 1,1432.5,0.8133427963094393
PSAM_Vehicle,2,Cell 2,2065.0,1.1724627395315828
PSAM_Vehicle,3,Cell 3,1367.5,0.7764371894960965
PSAM_Vehicle,4,Cell 4,1407.5,0.7991483321504613
PSAM_Vehicle,5,Cell 5,1382.5,0.7849538679914834
PSAM_Vehicle,6,Cell 6,730.0,0.41447835344215755
PSAM_Vehicle,7,Cell 7,692.5,0.39318665720369056
PSAM_Vehicle,8,Cell 8,1520.0,0.8630234208658624
PSAM_Vehicle,9,Cell 9,1112.5,0.631653655074521
PSAM_Vehicle,10,Cell 10,1375.0,0.7806955287437899
