condition,replicate,cell_label,auc,fold_change_vs_reference
DREADD_CNO,1,Cell 1,1907.5,0.852513966480447
DREADD_CNO,2,Cell 2,1767.5,0.7899441340782123
DREADD_CNO,3,Cell 3,942.5,0.4212290502793296
DREADD_CNO,4,Cell 4,1290.0,0.576536312849162
DREADD_CNO,5,Cell 5,1147.5,0.5128491620111731
DREADD_CNO,6,Cell 6,2135.0,0.9541899441340782
DREADD_CNO,7,Cell 7,1190.0,0.5318435754189944
DREADD_CNO,8,Cell 8,1795.0,0.8022346368715084
DREADD_CNO,9,Cell 9,1467.5,0.6558659217877095
DREADD_CNO,10,Cell 10,1372.5,0.6134078212290502
DREADD_CNO,11,Cell 11,1400.0,0.6256983240223464
DREADD_CNO,12,Cell 12,1660.0,0.7418994413407821
DREADD_Vehicle,1,Cell 1,1487.5,0.664804469273743
DREADD_Vehicle,2,Cell 2,2450.0,1.094972067039106
DREADD_Vehicle,3,Cell 3,1680.0,0.7508379888268156
DREADD_Vehicle,4,Cell 4,1905.0,0.8513966480446927
DREADD_Vehicle,5,Cell 5,1442.5,0.6446927374301676
DREADD_Vehicle,6,Cell 6,1747.5,0.7810055865921788
DREADD_Vehicle,7,Cell 7,1155.0,0.5162011173184358
DREADD_Vehicle,8,Cell 8,1420.0,0.6346368715083799
DREADD_Vehicle,9,Cell 9,1845.0,0.8245810055865922
None_CNO,1,Cell 1,1210.0,0.5407821229050279
None_CNO,2,Cell 2,735.0,0.32849162011173183
None_CNO,3,Cell 3,2592.5,1.158659217877095
None_CNO,4,Cell 4,1342.5,0.6
None_CNO,5,Cell 5,2202.5,0.9843575418994414
None_CNO,6,Cell 6,2147.5,0.9597765363128492
None_CNO,7,Cell 7,937.5,0.41899441340782123
None_CNO,8,Cell 8,2207.5,0.9865921787709497
None_CNO,9,Cell 9,482.5,0.21564245810055865
None_CNO,10,Cell 10,1297.5,0.5798882681564246
None_CNO,11,Cell 11,1945.0,0.8692737430167597
None_Vehicle,1,Cell 1,3557.5,1.5899441340782123
None_Vehicle,2,Cell 2,1710.0,0.7642458100558659
None_Vehicle,3,Cell 3,2797.5,1.2502793296089385
None_Vehicle,4,Cell 4,3847.5,1.7195530726256982
None_Vehicle,5,Cell 5,1177.5,0.5262569832402234
None_Vehicle,6,Cell 6,927.5,0.4145251396648045
None_Vehicle,7,Cell 7,2237.5,1.0
None_Vehicle,8,Cell 8,2227.5,0.9955307262569832
None_Vehicle,9,Cell 9,3217.5,1.4379888268156424
None_Vehicle,10,Cell 10,2087.5,0.9329608938547486
None_Vehicle,11,Cell 11,2522.5,1.1273743016759776
