condition,replicate,cell_label,auc,fold_change_vs_media
LMO7_hCTZ,1,Cell 1,1242.5,0.5553072625698324
LMO7_hCTZ,2,Cell 2,1567.5,0.7005586592178771
LMO7_hCTZ,3,Cell 3,632.5,0.28268156424581004
LMO7_hCTZ,4,Cell 4,1572.5,0.7027932960893855
LMO7_hCTZ,5,Cell 5,1412.5,0.6312849162011173
LMO7_hCTZ,6,Cell 6,1285.0,0.5743016759776536
LMO7_hCTZ,7,Cell 7,1340.0,0.5988826815642458
LMO7_hCTZ,8,Cell 8,1590.0,0.7106145251396648
LMO7_hCTZ,9,Cell 9,1572.5,0.7027932960893855
LMO7_Vehicle,1,Cell 1,1527.5,0.6826815642458101
LMO7_Vehicle,2,Cell 2,2160.0,0.9653631284916201
LMO7_Vehicle,3,Cell 3,2045.0,0.9139664804469274
LMO7_Vehicle,4,Cell 4,1655.0,0.7396648044692737
LMO7_Vehicle,5,Cell 5,2987.5,1.335195530726257
LMO7_Vehicle,6,Cell 6,1315.0,0.587709497206704
LMO7_Vehicle,7,Cell 7,1610.0,0.7195530726256983
LMO7_Vehicle,8,Cell 8,1695.0,0.7575418994413408
LMO7_Vehicle,9,Cell 9,617.5,0.2759776536312849
LMO7_Vehicle,10,Cell 10,2190.0,0.9787709497206704
LMO7_Vehicle,11,Cell 11,1592.5,0.711731843575419
None_Vehicle,1,Cell 1,3557.5,1.5899441340782123
None_Vehicle,2,Cell 2,1710.0,0.7642458100558659
None_Vehicle,3,Cell 3,2797.5,1.2502793296089385
None_Vehicle,4,Cell 4,3847.5,1.7195530726256982
None_Vehicle,5,Cell 5,1177.5,0.5262569832402234
None_Vehicle,6,Cell 6,927.5,0.4145251396648045
None_Vehicle,7,Cell 7,2237.5,1.0
None_Vehicle,8,Cell 8,2227.5,0.9955307262569832
None_Vehicle,9,Cell 9,3217.5,1.4379888268156424
None_Vehicle,10,Cell 10,2087.5,0.9329608938547486
None_Vehicle,11,Cell 11,2522.5,1.1273743016759776
None_hCTZ,1,Cell 1,2162.5,0.9664804469273743
None_hCTZ,2,Cell 2,3815.0,1.705027932960894
None_hCTZ,3,Cell 3,1942.5,0.8681564245810056
None_hCTZ,4,Cell 4,1992.5,0.8905027932960894
None_hCTZ,5,Cell 5,2035.0,0.9094972067039107
None_hCTZ,6,Cell 6,2387.5,1.0670391061452513
None_hCTZ,7,Cell 7,1462.5,0.6536312849162011
None_hCTZ,8,Cell 8,2550.0,1.1396648044692737
None_hCTZ,9,Cell 9,1607.5,0.7184357541899441
None_hCTZ,10,Cell 10,2345.0,1.04804469273743
None_hCTZ,11,Cell 11,2457.5,1.0983240223463686
None_hCTZ,12,Cell 12,3285.0,1.4681564245810055
