condition,replicate,cell_label,auc,fold_change_vs_reference
None_CNO,1,Cell 1,1210.0,0.5407821229050279
None_CNO,2,Cell 2,735.0,0.32849162011173183
None_CNO,3,Cell 3,2592.5,1.158659217877095
None_CNO,4,Cell 4,1342.5,0.6
None_CNO,5,Cell 5,2202.5,0.9843575418994414
None_CNO,6,Cell 6,2147.5,0.9597765363128492
None_CNO,7,Cell 7,937.5,0.41899441340782123
None_CNO,8,Cell 8,2207.5,0.9865921787709497
None_CNO,9,Cell 9,482.5,0.21564245810055865
None_CNO,10,Cell 10,1297.5,0.5798882681564246
None_CNO,11,Cell 11,1945.0,0.8692737430167597
None_Vehicle,1,Cell 1,3557.5,1.5899441340782123
None_Vehicle,2,Cell 2,1710.0,0.7642458100558659
None_Vehicle,3,Cell 3,2797.5,1.2502793296089385
None_Vehicle,4,Cell 4,3847.5,1.7195530726256982
None_Vehicle,5,Cell 5,1177.5,0.5262569832402234
None_Vehicle,6,Cell 6,927.5,0.4145251396648045
None_Vehicle,7,Cell 7,2237.5,1.0
None_Vehicle,8,Cell 8,2227.5,0.9955307262569832
None_Vehicle,9,Cell 9,3217.5,1.4379888268156424
None_Vehicle,10,Cell 10,2087.5,0.9329608938547486
None_Vehicle,11,Cell 11,2522.5,1.1273743016759776
None_hCTZ,1,Cell 1,2162.5,0.9664804469273743
None_hCTZ,2,Cell 2,3815.0,1.705027932960894
None_hCTZ,3,Cell 3,1942.5,0.8681564245810056
None_hCTZ,4,Cell 4,1992.5,0.8905027932960894
None_hCTZ,5,Cell 5,2035.0,0.9094972067039107
None_hCTZ,6,Cell 6,2387.5,1.0670391061452513
None_hCTZ,7,Cell 7,1462.5,0.6536312849162011
None_hCTZ,8,Cell 8,2550.0,1.1396648044692737
None_hCTZ,9,Cell 9,1607.5,0.7184357541899441
None_hCTZ,10,Cell 10,2345.0,1.04804469273743
None_hCTZ,11,Cell 11,2457.5,1.0983240223463686
None_hCTZ,12,Cell 12,3285.0,1.4681564245810055
None_uPSEM,1,Cell 1,2667.5,1.1921787709497207
None_uPSEM,2,Cell 2,1057.5,0.47262569832402235
None_uPSEM,3,Cell 3,1230.0,0.5497206703910614
None_uPSEM,4,Cell 4,1077.5,0.48156424581005586
None_uPSEM,5,Cell 5,1117.5,0.4994413407821229
None_uPSEM,6,Cell 6,702.5,0.3139664804469274
None_uPSEM,7,Cell 7,1322.5,0.5910614525139665
None_uPSEM,8,Cell 8,2027.5,0.906145251396648
None_uPSEM,9,Cell 9,1652.5,0.7385474860335196
