condition,replicate,cell_label,auc,fold_change_vs_reference
PSAM_uPSEM,1,Cell 1,1165.0,0.5206703910614525
PSAM_uPSEM,2,Cell 2,1915.0,0.8558659217877095
PSAM_uPSEM,3,Cell 3,947.5,0.423463687150838
PSAM_uPSEM,4,Cell 4,972.5,0.4346368715083799
PSAM_uPSEM,5,Cell 5,967.5,0.4324022346368715
PSAM_uPSEM,6,Cell 6,905.0,0.4044692737430168
PSAM_uPSEM,7,Cell 7,842.5,0.376536312849162
PSAM_uPSEM,8,Cell 8,1007.5,0.45027932960893857
PSAM_uPSEM,9,Cell 9,2035.0,0.9094972067039107
PSAM_uPSEM,10,Cell 10,1020.0,0.4558659217877095
PSAM_uPSEM,11,Cell 11,895.0,0.4
PSAM_uPSEM,12,Cell 12,1505.0,0.6726256983240223
PSAM_Vehicle,1,Cell 1,1432.5,0.6402234636871509
PSAM_Vehicle,2,Cell 2,2065.0,0.9229050279329609
PSAM_Vehicle,3,Cell 3,1367.5,0.6111731843575419
PSAM_Vehicle,4,Cell 4,1407.5,0.6290502793296089
PSAM_Vehicle,5,Cell 5,1382.5,0.617877094972067
PSAM_Vehicle,6,Cell 6,730.0,0.32625698324022345
PSAM_Vehicle,7,Cell 7,692.5,0.3094972067039106
PSAM_Vehicle,8,Cell 8,1520.0,0.6793296089385474
PSAM_Vehicle,9,Cell 9,1112.5,0.4972067039106145
PSAM_Vehicle,10,Cell 10,1375.0,0.6145251396648045
None_Vehicle,1,Cell 1,3557.5,1.5899441340782123
None_Vehicle,2,Cell 2,1710.0,0.7642458100558659
None_Vehicle,3,Cell 3,2797.5,1.2502793296089385
None_Vehicle,4,Cell 4,3847.5,1.7195530726256982
None_Vehicle,5,Cell 5,1177.5,0.5262569832402234
None_Vehicle,6,Cell 6,927.5,0.4145251396648045
None_Vehicle,7,Cell 7,2237.5,1.0
None_Vehicle,8,Cell 8,2227.5,0.9955307262569832
None_Vehicle,9,Cell 9,3217.5,1.4379888268156424
None_Vehicle,10,Cell 10,2087.5,0.9329608938547486
None_Vehicle,11,Cell 11,2522.5,1.1273743016759776
None_uPSEM,1,Cell 1,2667.5,1.1921787709497207
None_uPSEM,2,Cell 2,1057.5,0.47262569832402235
None_uPSEM,3,Cell 3,1230.0,0.5497206703910614
None_uPSEM,4,Cell 4,1077.5,0.48156424581005586
None_uPSEM,5,Cell 5,1117.5,0.4994413407821229
None_uPSEM,6,Cell 6,702.5,0.3139664804469274
None_uPSEM,7,Cell 7,1322.5,0.5910614525139665
None_uPSEM,8,Cell 8,2027.5,0.906145251396648
None_uPSEM,9,Cell 9,1652.5,0.7385474860335196
