technology,radius_um,all_groups_majority_observed
DREADD,5.0,False
DREADD,10.0,False
DREADD,15.0,True
DREADD,20.0,True
DREADD,25.0,True
DREADD,30.0,True
DREADD,35.0,True
DREADD,40.0,True
DREADD,45.0,True
DREADD,50.0,True
DREADD,55.0,True
DREADD,60.0,True
DREADD,65.0,True
DREADD,70.0,True
DREADD,75.0,True
DREADD,80.0,True
DREADD,85.0,True
DREADD,90.0,True
DREADD,95.0,True
DREADD,100.0,True
DREADD,105.0,True
DREADD,110.0,True
DREADD,115.0,True
DREADD,120.0,True
DREADD,125.0,True
DREADD,130.0,True
DREADD,135.0,True
DREADD,140.0,True
DREADD,145.0,True
DREADD,150.0,True
DREADD,155.0,True
DREADD,160.0,True
DREADD,165.0,True
DREADD,170.0,True
DREADD,175.0,True
DREADD,180.0,True
DREADD,185.0,True
DREADD,190.0,True
DREADD,195.0,True
DREADD,200.0,False
DREADD,205.0,False
DREADD,210.0,False
DREADD,215.0,False
DREADD,220.0,False
DREADD,225.0,False
DREADD,230.0,False
DREADD,235.0,False
DREADD,240.0,False
DREADD,245.0,False
DREADD,250.0,False
DREADD,255.0,False
DREADD,260.0,False
DREADD,265.0,False
DREADD,270.0,False
DREADD,275.0,False
DREADD,280.0,False
DREADD,285.0,False
DREADD,290.0,False
DREADD,295.0,False
DREADD,300.0,False
DREADD,305.0,False
DREADD,310.0,False
DREADD,315.0,False
DREADD,320.0,False
DREADD,325.0,False
DREADD,330.0,False
DREADD,335.0,False
DREADD,340.0,False
DREADD,345.0,False
DREADD,350.0,False
EYFP,5.0,False
EYFP,10.0,True
EYFP,15.0,True
EYFP,20.0,True
EYFP,25.0,True
EYFP,30.0,True
EYFP,35.0,True
EYFP,40.0,True
EYFP,45.0,True
EYFP,50.0,True
EYFP,55.0,True
EYFP,60.0,True
EYFP,65.0,True
EYFP,70.0,True
EYFP,75.0,True
EYFP,80.0,True
EYFP,85.0,True
EYFP,90.0,True
EYFP,95.0,True
EYFP,100.0,True
EYFP,105.0,True
EYFP,110.0,True
EYFP,115.0,True
EYFP,120.0,True
EYFP,125.0,True
EYFP,130.0,True
EYFP,135.0,True
EYFP,140.0,True
EYFP,145.0,True
EYFP,150.0,True
EYFP,155.0,True
EYFP,160.0,True
EYFP,165.0,True
EYFP,170.0,True
EYFP,175.0,True
EYFP,180.0,True
EYFP,185.0,True
EYFP,190.0,True
EYFP,195.0,True
EYFP,200.0,True
EYFP,205.0,True
EYFP,210.0,True
EYFP,215.0,True
EYFP,220.0,True
EYFP,225.0,True
EYFP,230.0,True
EYFP,235.0,True
EYFP,240.0,True
EYFP,245.0,True
EYFP,250.0,True
EYFP,255.0,True
EYFP,260.0,True
EYFP,265.0,True
EYFP,270.0,True
EYFP,275.0,False
EYFP,280.0,False
EYFP,285.0,False
EYFP,290.0,False
EYFP,295.0,False
EYFP,300.0,False
EYFP,305.0,False
EYFP,310.0,False
EYFP,315.0,False
EYFP,320.0,False
EYFP,325.0,False
EYFP,330.0,False
EYFP,335.0,False
EYFP,340.0,False
EYFP,345.0,False
EYFP,350.0,False
EYFP,355.0,False
EYFP,360.0,False
EYFP,365.0,False
EYFP,370.0,False
EYFP,375.0,False
EYFP,380.0,False
EYFP,385.0,False
EYFP,390.0,False
EYFP,395.0,False
EYFP,400.0,False
EYFP,405.0,False
EYFP,410.0,False
EYFP,415.0,False
EYFP,420.0,False
EYFP,425.0,False
EYFP,430.0,False
EYFP,435.0,False
EYFP,440.0,False
EYFP,445.0,False
EYFP,450.0,False
EYFP,455.0,False
EYFP,460.0,False
EYFP,465.0,False
EYFP,470.0,False
EYFP,475.0,False
EYFP,480.0,False
EYFP,485.0,False
EYFP,490.0,False
EYFP,495.0,False
EYFP,500.0,False
