analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,is_primary_condition
Group I (Activation),DREADD_CNO,DREADD/CNO,1,,DREADD/CNO__r1__sNA,DREADD_rep1,53,10.0,270.0,1907.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,2,,DREADD/CNO__r2__sNA,DREADD_rep2,46,10.0,235.0,1767.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,3,,DREADD/CNO__r3__sNA,DREADD_rep3,48,10.0,245.0,942.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,4,,DREADD/CNO__r4__sNA,DREADD_rep4,34,15.0,180.0,1290.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,5,,DREADD/CNO__r5__sNA,DREADD_rep5,55,10.0,280.0,1147.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,6,,DREADD/CNO__r6__sNA,DREADD_rep6,52,15.0,270.0,2135.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,7,,DREADD/CNO__r7__sNA,DREADD_rep7,51,15.0,265.0,1190.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,8,,DREADD/CNO__r8__sNA,DREADD_rep8,52,10.0,265.0,1795.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,9,,DREADD/CNO__r9__sNA,DREADD_rep9,56,10.0,285.0,1467.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,10,,DREADD/CNO__r10__sNA,DREADD_rep10,58,15.0,300.0,1372.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,11,,DREADD/CNO__r11__sNA,DREADD_rep11,43,15.0,225.0,1400.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,12,,DREADD/CNO__r12__sNA,DREADD_rep12,57,15.0,295.0,1660.0,DREADD,Stimulated,True
Group II (Expression only),DREADD_Vehicle,DREADD,1,,DREADD__r1__sNA,DREADD_rep1,41,15.0,215.0,1487.5,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,2,,DREADD__r2__sNA,DREADD_rep2,59,10.0,300.0,2450.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,3,,DREADD__r3__sNA,DREADD_rep3,58,15.0,300.0,1680.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,4,,DREADD__r4__sNA,DREADD_rep4,57,15.0,295.0,1905.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,5,,DREADD__r5__sNA,DREADD_rep5,54,15.0,280.0,1442.5,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,6,,DREADD__r6__sNA,DREADD_rep6,54,20.0,285.0,1747.5,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,7,,DREADD__r7__sNA,DREADD_rep7,57,15.0,295.0,1155.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,8,,DREADD__r8__sNA,DREADD_rep8,50,10.0,255.0,1420.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,9,,DREADD__r9__sNA,DREADD_rep9,59,10.0,300.0,1845.0,DREADD,Vehicle,True
Group II (Expression only),EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,1662.5,,,False
Group II (Expression only),EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,1440.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,3330.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,2645.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,1710.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,2940.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,2820.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,1397.5,,,False
Group II (Expression only),EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,2527.5,,,False
Group II (Expression only),EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,1665.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,1085.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,1812.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,1,,CONTROL/MEDIA__r1__sNA,CONTROL/MEDIA_rep1,51,10.0,260.0,1367.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,2,,CONTROL/MEDIA__r2__sNA,CONTROL/MEDIA_rep2,39,10.0,200.0,640.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,3,,CONTROL/MEDIA__r3__sNA,CONTROL/MEDIA_rep3,53,15.0,275.0,917.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,4,,CONTROL/MEDIA__r4__sNA,CONTROL/MEDIA_rep4,49,10.0,250.0,995.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,5,,CONTROL/MEDIA__r5__sNA,CONTROL/MEDIA_rep5,65,10.0,330.0,1680.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,6,,CONTROL/MEDIA__r6__sNA,CONTROL/MEDIA_rep6,45,10.0,230.0,907.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,7,,CONTROL/MEDIA__r7__sNA,CONTROL/MEDIA_rep7,50,15.0,260.0,1447.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,8,,CONTROL/MEDIA__r8__sNA,CONTROL/MEDIA_rep8,53,10.0,270.0,2022.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,9,,CONTROL/MEDIA__r9__sNA,CONTROL/MEDIA_rep9,53,10.0,270.0,950.0,,,False
