condition,n_cells,mean_auc,median_auc,sd_auc,skewness_auc,shapiro_w,shapiro_pvalue,normality_not_rejected_alpha,alpha
DREADD_CNO,12,1506.25,1433.75,351.0463256142595,0.22183946328307208,0.9789084015354412,0.9789336500307596,True,0.05
DREADD_Vehicle,9,1681.388888888889,1680.0,372.82307950435563,0.8847470334925259,0.9431435554750327,0.6153517390994713,True,0.05
EYFP_Control,12,2086.25,1761.25,725.4547946570544,0.3933546978865202,0.9174048365501294,0.2651433266943387,True,0.05
EYFP_Control_Media,11,1299.7727272727273,1312.5,470.9743285804633,0.4639200109944012,0.9258423624600415,0.37033691161582283,True,0.05
LMO7_Vehicle,11,1763.1818181818182,1655.0,596.3190116341787,0.2194579326947489,0.9428432098639333,0.5544778466613745,True,0.05
LMO7_hCTZ,9,1357.2222222222222,1412.5,303.73571068355534,-1.952907772385604,0.7606654782639308,0.007205568370646397,False,0.05
None_CNO,11,1554.5454545454545,1342.5,697.0669069230534,-0.05348375097407104,0.938267612024393,0.5003511187567259,True,0.05
None_Vehicle,11,2391.818181818182,2237.5,925.6525339652907,0.002584738063638505,0.9729234010219064,0.9144159472307366,True,0.05
None_hCTZ,12,2336.875,2253.75,663.22740940865,1.0851214398757165,0.9116056845108684,0.2236920947584126,True,0.05
None_uPSEM,9,1428.3333333333333,1230.0,599.9348923008229,1.2009546778880056,0.8943367698268015,0.22097039190934717,True,0.05
PSAM_Vehicle,10,1308.5,1378.75,395.54673835366435,0.025371457432238734,0.892608938402928,0.18141040951285908,True,0.05
PSAM_uPSEM,12,1181.4583333333333,990.0,409.59577958215726,1.4694602438423112,0.7458767709977514,0.0024209860275355333,False,0.05
