neuron_id,experiment_id,actuator,condition_vehicle_vs_stim,ligand,condition,source_condition,replicate,sample_id
DREADD/CNO__r1__sNA,DREADD_rep1,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,1,
DREADD/CNO__r2__sNA,DREADD_rep2,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,2,
DREADD/CNO__r3__sNA,DREADD_rep3,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,3,
DREADD/CNO__r4__sNA,DREADD_rep4,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,4,
DREADD/CNO__r5__sNA,DREADD_rep5,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,5,
DREADD/CNO__r6__sNA,DREADD_rep6,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,6,
DREADD/CNO__r7__sNA,DREADD_rep7,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,7,
DREADD/CNO__r8__sNA,DREADD_rep8,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,8,
DREADD/CNO__r9__sNA,DREADD_rep9,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,9,
DREADD/CNO__r10__sNA,DREADD_rep10,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,10,
DREADD/CNO__r11__sNA,DREADD_rep11,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,11,
DREADD/CNO__r12__sNA,DREADD_rep12,DREADD,Stimulated,CNO,DREADD_CNO,DREADD/CNO,12,
DREADD__r1__sNA,DREADD_rep1,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,1,
DREADD__r2__sNA,DREADD_rep2,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,2,
DREADD__r3__sNA,DREADD_rep3,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,3,
DREADD__r4__sNA,DREADD_rep4,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,4,
DREADD__r5__sNA,DREADD_rep5,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,5,
DREADD__r6__sNA,DREADD_rep6,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,6,
DREADD__r7__sNA,DREADD_rep7,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,7,
DREADD__r8__sNA,DREADD_rep8,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,8,
DREADD__r9__sNA,DREADD_rep9,DREADD,Vehicle,none,DREADD_Vehicle,DREADD,9,
CONTROL__r1__s371.1,371.1,EYFP,Vehicle,none,EYFP_Control,CONTROL,1,371.1
CONTROL__r2__s371.2,371.2,EYFP,Vehicle,none,EYFP_Control,CONTROL,2,371.2
CONTROL__r3__s371.3,371.3,EYFP,Vehicle,none,EYFP_Control,CONTROL,3,371.3
CONTROL__r4__s371.4,371.4,EYFP,Vehicle,none,EYFP_Control,CONTROL,4,371.4
CONTROL__r5__s371.5,371.5,EYFP,Vehicle,none,EYFP_Control,CONTROL,5,371.5
CONTROL__r6__s371.6,371.6,EYFP,Vehicle,none,EYFP_Control,CONTROL,6,371.6
CONTROL__r7__s371.7,371.7,EYFP,Vehicle,none,EYFP_Control,CONTROL,7,371.7
CONTROL__r8__s371.8,371.8,EYFP,Vehicle,none,EYFP_Control,CONTROL,8,371.8
CONTROL__r9__s371.9,371.9,EYFP,Vehicle,none,EYFP_Control,CONTROL,9,371.9
CONTROL__r10__s371.1,371.1,EYFP,Vehicle,none,EYFP_Control,CONTROL,10,371.1
CONTROL__r11__s371.11,371.11,EYFP,Vehicle,none,EYFP_Control,CONTROL,11,371.11
CONTROL__r12__s371.12,371.12,EYFP,Vehicle,none,EYFP_Control,CONTROL,12,371.12
CONTROL/MEDIA__r1__sNA,EYFP_rep1,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,1,
CONTROL/MEDIA__r2__sNA,EYFP_rep2,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,2,
CONTROL/MEDIA__r3__sNA,EYFP_rep3,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,3,
