actuator,experiment,auc_stimulated,auc_vehicle,delta_stim_minus_vehicle,pair_complete
DREADD,DREADD_rep1,1907.5,1487.5,420.0,True
DREADD,DREADD_rep10,1372.5,,,False
DREADD,DREADD_rep11,1400.0,,,False
DREADD,DREADD_rep12,1660.0,,,False
DREADD,DREADD_rep2,1767.5,2450.0,-682.5,True
DREADD,DREADD_rep3,942.5,1680.0,-737.5,True
DREADD,DREADD_rep4,1290.0,1905.0,-615.0,True
DREADD,DREADD_rep5,1147.5,1442.5,-295.0,True
DREADD,DREADD_rep6,2135.0,1747.5,387.5,True
DREADD,DREADD_rep7,1190.0,1155.0,35.0,True
DREADD,DREADD_rep8,1795.0,1420.0,375.0,True
DREADD,DREADD_rep9,1467.5,1845.0,-377.5,True
LMO7,LMO7_rep1,1242.5,,,False
LMO7,LMO7_rep10,,2190.0,,False
LMO7,LMO7_rep2,1567.5,2160.0,-592.5,True
LMO7,LMO7_rep3,,2045.0,,False
LMO7,LMO7_rep4,1572.5,1655.0,-82.5,True
LMO7,LMO7_rep5,1412.5,2987.5,-1575.0,True
LMO7,LMO7_rep6,,1315.0,,False
LMO7,LMO7_rep7,1340.0,1610.0,-270.0,True
LMO7,LMO7_rep8,1590.0,1695.0,-105.0,True
LMO7,LMO7_rep9,1572.5,,,False
PSAM,PSAM_rep1,1165.0,1432.5,-267.5,True
PSAM,PSAM_rep10,1020.0,1375.0,-355.0,True
PSAM,PSAM_rep11,895.0,,,False
PSAM,PSAM_rep12,1505.0,,,False
PSAM,PSAM_rep2,1915.0,2065.0,-150.0,True
PSAM,PSAM_rep3,947.5,1367.5,-420.0,True
PSAM,PSAM_rep4,972.5,1407.5,-435.0,True
PSAM,PSAM_rep5,967.5,1382.5,-415.0,True
PSAM,PSAM_rep6,905.0,730.0,175.0,True
PSAM,PSAM_rep7,842.5,692.5,150.0,True
PSAM,PSAM_rep8,1007.5,1520.0,-512.5,True
PSAM,PSAM_rep9,2035.0,1112.5,922.5,True
