cell_id,condition,auc,n_significant_combinations_containing_cell,proportion_significant_combinations_containing_cell,proportion_all_tested_combinations_containing_cell,enrichment_ratio_vs_all_tested_combinations
PSAM/uPSEM__r9__sNA,PSAM_uPSEM,2035.0,324,0.7980295566502463,0.12414229916605088,6.428345229717503
PSAM/uPSEM__r2__sNA,PSAM_uPSEM,1915.0,264,0.6502463054187192,0.12319223054998417,5.278306127876201
DREADD/CNO__r3__sNA,DREADD_CNO,942.5,146,0.35960591133004927,0.12335057531932862,2.9153160445267923
CONTROL/MEDIA__r10__sNA,EYFP_Control_Media,2057.5,127,0.312807881773399,0.12356170167845455,2.531592536556522
CONTROL/MEDIA__r8__sNA,EYFP_Control_Media,2022.5,105,0.25862068965517243,0.11622506069882825,2.2251714742084
LMO7/hCTZ__r3__sNA,LMO7_hCTZ,632.5,90,0.22167487684729065,0.12123931172806925,1.828407582389538
PSAM/uPSEM__r12__sNA,PSAM_uPSEM,1505.0,89,0.21921182266009853,0.12086984059959886,1.8136188611869986
DREADD/CNO__r7__sNA,DREADD_CNO,1190.0,81,0.19950738916256158,0.12234772511348042,1.6306587554244572
DREADD/CNO__r5__sNA,DREADD_CNO,1147.5,78,0.1921182266009852,0.12166156444632112,1.579120139341547
CONTROL/MEDIA__r5__sNA,EYFP_Control_Media,1680.0,62,0.15270935960591134,0.11976142721418769,1.275113057335212
CONTROL/MEDIA__r1__sNA,EYFP_Control_Media,1367.5,52,0.12807881773399016,0.1257785284492769,1.0182884098985219
CONTROL/MEDIA__r2__sNA,EYFP_Control_Media,640.0,50,0.12315270935960591,0.11786128998205427,1.044895311924359
CONTROL/MEDIA__r3__sNA,EYFP_Control_Media,917.5,50,0.12315270935960591,0.12171434603610261,1.011817533186077
CONTROL/MEDIA__r11__sNA,EYFP_Control_Media,1312.5,50,0.12315270935960591,0.1240895175762694,0.9924505450987212
LMO7/hCTZ__r4__sNA,LMO7_hCTZ,1572.5,48,0.11822660098522167,0.11928639290615434,0.9911155673743406
DREADD/CNO__r4__sNA,DREADD_CNO,1290.0,47,0.11576354679802955,0.1213976564974137,0.9535896337545513
CONTROL/MEDIA__r6__sNA,EYFP_Control_Media,907.5,47,0.11576354679802955,0.12245328829304339,0.9453690334635637
DREADD/CNO__r10__sNA,DREADD_CNO,1372.5,47,0.11576354679802955,0.12292832260107675,0.9417158255197372
CONTROL/MEDIA__r9__sNA,EYFP_Control_Media,950.0,46,0.11330049261083744,0.12065871424047292,0.9390162436591978
CONTROL/MEDIA__r7__sNA,EYFP_Control_Media,1447.5,45,0.11083743842364532,0.12398395439670643,0.8939659890908405
LMO7/hCTZ__r8__sNA,LMO7_hCTZ,1590.0,44,0.10837438423645321,0.12630634434709173,0.8580280333237955
LMO7/hCTZ__r7__sNA,LMO7_hCTZ,1340.0,43,0.10591133004926108,0.12208381716457299,0.8675296407753137
DREADD/CNO__r9__sNA,DREADD_CNO,1467.5,42,0.10344827586206896,0.12123931172806925,0.8532568717817843
PSAM/uPSEM__r1__sNA,PSAM_uPSEM,1165.0,41,0.10098522167487685,0.11780850839227278,0.8571980330879108
CONTROL/MEDIA__r4__sNA,EYFP_Control_Media,995.0,40,0.09852216748768473,0.11991977198353214,0.8215673350447513
LMO7/hCTZ__r6__sNA,LMO7_hCTZ,1285.0,40,0.09852216748768473,0.12145043808719519,0.8112129444683507
LMO7/hCTZ__r9__sNA,LMO7_hCTZ,1572.5,36,0.08866995073891626,0.11712234772511348,0.7570711521854472
LMO7/hCTZ__r2__sNA,LMO7_hCTZ,1567.5,36,0.08866995073891626,0.1193919560857173,0.742679437090852
DREADD/CNO__r11__sNA,DREADD_CNO,1400.0,36,0.08866995073891626,0.12160878285653964,0.7291410098522167
PSAM/uPSEM__r10__sNA,PSAM_uPSEM,1020.0,33,0.0812807881773399,0.1180724163411802,0.6883977705891291
LMO7/hCTZ__r1__sNA,LMO7_hCTZ,1242.5,33,0.0812807881773399,0.11860023223899503,0.685334140101416
LMO7/hCTZ__r5__sNA,LMO7_hCTZ,1412.5,33,0.0812807881773399,0.11875857700833949,0.6844203612479475
PSAM/uPSEM__r8__sNA,PSAM_uPSEM,1007.5,28,0.06896551724137931,0.11965586403462472,0.5763655446207201
DREADD/CNO__r2__sNA,DREADD_CNO,1767.5,23,0.05665024630541872,0.12461733347408424,0.45459363257198776
PSAM/uPSEM__r11__sNA,PSAM_uPSEM,895.0,20,0.04926108374384237,0.11881135859812098,0.41461594518473455
DREADD/CNO__r12__sNA,DREADD_CNO,1660.0,20,0.04926108374384237,0.12081705900981737,0.407732849546019
PSAM/uPSEM__r4__sNA,PSAM_uPSEM,972.5,20,0.04926108374384237,0.1213976564974137,0.4057828228742772
PSAM/uPSEM__r6__sNA,PSAM_uPSEM,905.0,18,0.04433497536945813,0.11780850839227278,0.3763308437946925
PSAM/uPSEM__r7__sNA,PSAM_uPSEM,842.5,18,0.04433497536945813,0.12181990921566557,0.3639386669626316
DREADD/CNO__r8__sNA,DREADD_CNO,1795.0,17,0.04187192118226601,0.12171434603610261,0.34401796128326617
DREADD/CNO__r1__sNA,DREADD_CNO,1907.5,16,0.03940886699507389,0.11728069249445794,0.3360217795178532
PSAM/uPSEM__r3__sNA,PSAM_uPSEM,947.5,16,0.03940886699507389,0.12181990921566557,0.323501037300117
PSAM/uPSEM__r5__sNA,PSAM_uPSEM,967.5,15,0.03694581280788178,0.12092262218938034,0.3055326798158569
DREADD/CNO__r6__sNA,DREADD_CNO,2135.0,14,0.034482758620689655,0.11970864562440621,0.28805570759593746
