sensitivity_rank_lowest_anova_pvalue,removed_cell_id,removed_condition,removed_source_condition,removed_replicate,removed_experiment,removed_auc,n_after_removal,n_by_condition_after_removal,anova_f_statistic_after_removal,anova_pvalue_after_removal,pvalue_change_from_full_data,would_be_significant_alpha,alpha
1,PSAM/uPSEM__r9__sNA,PSAM_uPSEM,PSAM/uPSEM,9,PSAM_rep9,2035.0,43,DREADD_CNO:12 | LMO7_hCTZ:9 | PSAM_uPSEM:11 | EYFP_Control_Media:11,2.295968427403698,0.09277693720163745,-0.1600917334711518,False,0.05
2,PSAM/uPSEM__r2__sNA,PSAM_uPSEM,PSAM/uPSEM,2,PSAM_rep2,1915.0,43,DREADD_CNO:12 | LMO7_hCTZ:9 | PSAM_uPSEM:11 | EYFP_Control_Media:11,2.0919334755877927,0.11697832151550373,-0.13589034915728548,False,0.05
3,DREADD/CNO__r3__sNA,DREADD_CNO,DREADD/CNO,3,DREADD_rep3,942.5,43,DREADD_CNO:11 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:11,1.8827266103025422,0.14846558492555456,-0.10440308574723467,False,0.05
4,CONTROL/MEDIA__r10__sNA,EYFP_Control_Media,CONTROL/MEDIA,10,EYFP_rep10,2057.5,43,DREADD_CNO:12 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:10,1.7672200750977862,0.1693719470838695,-0.08349672358891974,False,0.05
5,CONTROL/MEDIA__r8__sNA,EYFP_Control_Media,CONTROL/MEDIA,8,EYFP_rep8,2022.5,43,DREADD_CNO:12 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:10,1.7339467469977976,0.17592333329085957,-0.07694533738192966,False,0.05
6,LMO7/hCTZ__r3__sNA,LMO7_hCTZ,LMO7/hCTZ,3,LMO7_rep3,632.5,43,DREADD_CNO:12 | LMO7_hCTZ:8 | PSAM_uPSEM:12 | EYFP_Control_Media:11,1.7235090390497363,0.1780300927333453,-0.07483857793944393,False,0.05
7,DREADD/CNO__r5__sNA,DREADD_CNO,DREADD/CNO,5,DREADD_rep5,1147.5,43,DREADD_CNO:11 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:11,1.6358145637571622,0.19675103319141632,-0.05611763748137291,False,0.05
8,DREADD/CNO__r7__sNA,DREADD_CNO,DREADD/CNO,7,DREADD_rep7,1190.0,43,DREADD_CNO:11 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:11,1.5912696278933276,0.2069952660293101,-0.04587340464347914,False,0.05
9,PSAM/uPSEM__r12__sNA,PSAM_uPSEM,PSAM/uPSEM,12,PSAM_rep12,1505.0,43,DREADD_CNO:12 | LMO7_hCTZ:9 | PSAM_uPSEM:11 | EYFP_Control_Media:11,1.587010920596395,0.2080018492514406,-0.044866821421348624,False,0.05
10,CONTROL/MEDIA__r5__sNA,EYFP_Control_Media,CONTROL/MEDIA,5,EYFP_rep5,1680.0,43,DREADD_CNO:12 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:10,1.4966131195461467,0.230542559252391,-0.022326111420398226,False,0.05
11,DREADD/CNO__r4__sNA,DREADD_CNO,DREADD/CNO,4,DREADD_rep4,1290.0,43,DREADD_CNO:11 | LMO7_hCTZ:9 | PSAM_uPSEM:12 | EYFP_Control_Media:11,1.4940958825942883,0.23120341206551692,-0.02166525860727231,False,0.05
