sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference,significant_dunnett_adjusted_alpha
1,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,7,11,1065.357142857143,1557.5,492.1428571428571,3.461913224372858,0.004152960908434533,144.2092931272686,840.0764211584456,True
1,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,7,9,1065.357142857143,1357.2222222222222,291.8650793650793,1.9697372643203213,0.1343433571586058,-70.79115886386529,654.5213175940239,False
1,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,7,9,1065.357142857143,1006.9444444444445,-58.41269841269843,-0.39421526214541325,0.955348761641428,-421.068936641643,304.24353981624614,False
2,8,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,7,11,1122.142857142857,1518.409090909091,396.2662337662339,2.867862096786508,0.01877364374587731,58.03157778717866,734.5008897452891,True
2,8,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,7,8,1122.142857142857,1447.8125,325.6696428571429,2.2018500972566244,0.08453711619108828,-36.38892566083649,687.7282113751223,False
2,8,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,7,10,1122.142857142857,1022.75,-99.39285714285711,-0.7057352680057777,0.8065039478013512,-444.1415710111007,245.3558567253865,False
3,8,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,9,10,1411.9444444444443,1594.25,182.30555555555566,1.3305516682339324,0.41493137144637315,-155.7068881854832,520.3179992965945,False
3,8,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,9,8,1411.9444444444443,1447.8125,35.86805555555566,0.24753522403581274,0.989408457136222,-321.5984506141623,393.3345617252736,False
3,8,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,9,9,1411.9444444444443,1042.7777777777778,-369.1666666666665,-2.6261294086288793,0.03469973236486601,-715.9601166803734,-22.373216652959627,True
4,8,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r5__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,8,10,1067.1875,1598.5,531.3125,3.4853964129622987,0.003979249175320998,156.7213312994781,905.9036687005218,True
