posthoc_rank,sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,anova_pvalue,minimum_dunnett_adjusted_pvalue,significant_dunnett_conditions,has_significant_dunnett_contrast
1,4,8,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r5__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,0.0038545839053951672,0.003979249175320998,DREADD_CNO,True
2,1,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.0007309221369693849,0.004152960908434533,DREADD_CNO,True
3,10,8,CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r2__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r12__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.006644084122148836,0.007715661929166284,DREADD_CNO,True
4,19,7,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | DREADD/CNO__r9__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ,0.009936113437220218,0.01049859823174204,DREADD_CNO,True
5,116,7,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r6__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ,0.0215426617971875,0.010822926521826925,DREADD_CNO,True
6,246,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r8__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.03498709266613435,0.01427390813717,DREADD_CNO,True
7,98,8,DREADD/CNO__r12__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r1__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,0.019048347857737822,0.016533890987556088,DREADD_CNO | LMO7_hCTZ,True
8,2,8,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.00105478514243015,0.01877364374587731,DREADD_CNO,True
9,187,7,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r5__sNA | LMO7/hCTZ__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ,0.02838538653891686,0.020042581507951684,DREADD_CNO,True
10,307,6,CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r7__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ,0.04135135394334779,0.02234770162626043,DREADD_CNO,True
