major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,1,,DREADD/CNO__r1__sNA,DREADD_rep1,53,10.0,270.0,1.4675642594859242,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,2,,DREADD/CNO__r2__sNA,DREADD_rep2,46,10.0,235.0,1.3598531211750307,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,3,,DREADD/CNO__r3__sNA,DREADD_rep3,48,10.0,245.0,0.7251267704144081,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,4,,DREADD/CNO__r4__sNA,DREADD_rep4,34,15.0,180.0,0.9924812030075189,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,5,,DREADD/CNO__r5__sNA,DREADD_rep5,55,10.0,280.0,0.8828466515125022,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,6,,DREADD/CNO__r6__sNA,DREADD_rep6,52,15.0,270.0,1.6425948592411261,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,7,,DREADD/CNO__r7__sNA,DREADD_rep7,51,15.0,265.0,0.9155446756425949,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,8,,DREADD/CNO__r8__sNA,DREADD_rep8,52,10.0,265.0,1.3810106662003847,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,9,,DREADD/CNO__r9__sNA,DREADD_rep9,56,10.0,285.0,1.129043539080259,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,10,,DREADD/CNO__r10__sNA,DREADD_rep10,58,15.0,300.0,1.0559538380835811,DREADD,Stimulated,CNO,True,matched_control_mean,1299.7727272727273
