radius_um,condition,replicate,sample_id,intersections
5.0,CNO,1,,1.0
10.0,CNO,1,,3.0
15.0,CNO,1,,4.0
20.0,CNO,1,,5.0
25.0,CNO,1,,6.0
30.0,CNO,1,,6.0
35.0,CNO,1,,6.0
40.0,CNO,1,,7.0
45.0,CNO,1,,6.0
50.0,CNO,1,,6.0
55.0,CNO,1,,5.0
60.0,CNO,1,,5.0
65.0,CNO,1,,5.0
70.0,CNO,1,,5.0
75.0,CNO,1,,8.0
80.0,CNO,1,,9.0
85.0,CNO,1,,7.0
90.0,CNO,1,,7.0
95.0,CNO,1,,7.0
100.0,CNO,1,,8.0
105.0,CNO,1,,9.0
110.0,CNO,1,,6.0
115.0,CNO,1,,6.0
120.0,CNO,1,,6.0
125.0,CNO,1,,7.0
130.0,CNO,1,,7.0
135.0,CNO,1,,7.0
140.0,CNO,1,,7.0
145.0,CNO,1,,6.0
150.0,CNO,1,,8.0
155.0,CNO,1,,8.0
160.0,CNO,1,,10.0
165.0,CNO,1,,6.0
170.0,CNO,1,,5.0
175.0,CNO,1,,1.0
180.0,CNO,1,,1.0
185.0,CNO,1,,1.0
190.0,CNO,1,,1.0
195.0,CNO,1,,1.0
200.0,CNO,1,,1.0
205.0,CNO,1,,1.0
210.0,CNO,1,,1.0
215.0,CNO,1,,1.0
220.0,CNO,1,,3.0
225.0,CNO,1,,1.0
230.0,CNO,1,,1.0
235.0,CNO,1,,1.0
240.0,CNO,1,,1.0
245.0,CNO,1,,1.0
250.0,CNO,1,,1.0
255.0,CNO,1,,1.0
260.0,CNO,1,,1.0
265.0,CNO,1,,1.0
270.0,CNO,1,,1.0
275.0,CNO,1,,1.0
280.0,CNO,1,,1.0
285.0,CNO,1,,1.0
290.0,CNO,1,,1.0
295.0,CNO,1,,1.0
300.0,CNO,1,,1.0
305.0,CNO,1,,1.0
5.0,CNO,2,,1.0
10.0,CNO,2,,11.0
15.0,CNO,2,,14.0
20.0,CNO,2,,24.0
25.0,CNO,2,,16.0
30.0,CNO,2,,13.0
35.0,CNO,2,,13.0
40.0,CNO,2,,9.0
45.0,CNO,2,,9.0
50.0,CNO,2,,7.0
55.0,CNO,2,,8.0
60.0,CNO,2,,7.0
65.0,CNO,2,,5.0
70.0,CNO,2,,6.0
75.0,CNO,2,,3.0
80.0,CNO,2,,3.0
5.0,CNO,3,,0.0
10.0,CNO,3,,6.0
15.0,CNO,3,,15.0
20.0,CNO,3,,17.0
25.0,CNO,3,,19.0
30.0,CNO,3,,24.0
35.0,CNO,3,,26.0
40.0,CNO,3,,29.0
45.0,CNO,3,,26.0
50.0,CNO,3,,27.0
55.0,CNO,3,,27.0
60.0,CNO,3,,28.0
65.0,CNO,3,,28.0
70.0,CNO,3,,23.0
75.0,CNO,3,,24.0
80.0,CNO,3,,20.0
85.0,CNO,3,,19.0
90.0,CNO,3,,17.0
95.0,CNO,3,,20.0
100.0,CNO,3,,14.0
105.0,CNO,3,,13.0
110.0,CNO,3,,12.0
115.0,CNO,3,,13.0
120.0,CNO,3,,12.0
125.0,CNO,3,,10.0
130.0,CNO,3,,10.0
135.0,CNO,3,,7.0
140.0,CNO,3,,6.0
145.0,CNO,3,,6.0
150.0,CNO,3,,5.0
155.0,CNO,3,,4.0
160.0,CNO,3,,4.0
165.0,CNO,3,,2.0
170.0,CNO,3,,1.0
175.0,CNO,3,,1.0
180.0,CNO,3,,1.0
185.0,CNO,3,,1.0
190.0,CNO,3,,1.0
195.0,CNO,3,,1.0
5.0,CNO,4,,2.0
10.0,CNO,4,,9.0
15.0,CNO,4,,12.0
20.0,CNO,4,,15.0
25.0,CNO,4,,15.0
30.0,CNO,4,,16.0
35.0,CNO,4,,25.0
40.0,CNO,4,,21.0
45.0,CNO,4,,17.0
50.0,CNO,4,,18.0
55.0,CNO,4,,16.0
60.0,CNO,4,,11.0
65.0,CNO,4,,12.0
70.0,CNO,4,,13.0
75.0,CNO,4,,14.0
80.0,CNO,4,,9.0
85.0,CNO,4,,10.0
90.0,CNO,4,,4.0
95.0,CNO,4,,4.0
100.0,CNO,4,,4.0
105.0,CNO,4,,4.0
110.0,CNO,4,,3.0
115.0,CNO,4,,3.0
120.0,CNO,4,,2.0
125.0,CNO,4,,2.0
130.0,CNO,4,,2.0
135.0,CNO,4,,2.0
140.0,CNO,4,,2.0
145.0,CNO,4,,2.0
150.0,CNO,4,,1.0
5.0,CNO,5,,0.0
10.0,CNO,5,,8.0
15.0,CNO,5,,17.0
20.0,CNO,5,,20.0
25.0,CNO,5,,21.0
30.0,CNO,5,,24.0
35.0,CNO,5,,27.0
40.0,CNO,5,,24.0
45.0,CNO,5,,27.0
50.0,CNO,5,,25.0
55.0,CNO,5,,26.0
60.0,CNO,5,,22.0
65.0,CNO,5,,22.0
70.0,CNO,5,,21.0
75.0,CNO,5,,20.0
80.0,CNO,5,,17.0
85.0,CNO,5,,14.0
90.0,CNO,5,,13.0
95.0,CNO,5,,13.0
100.0,CNO,5,,11.0
105.0,CNO,5,,9.0
110.0,CNO,5,,8.0
115.0,CNO,5,,7.0
120.0,CNO,5,,6.0
125.0,CNO,5,,8.0
130.0,CNO,5,,6.0
135.0,CNO,5,,6.0
140.0,CNO,5,,5.0
145.0,CNO,5,,3.0
150.0,CNO,5,,2.0
155.0,CNO,5,,2.0
160.0,CNO,5,,2.0
165.0,CNO,5,,2.0
170.0,CNO,5,,1.0
175.0,CNO,5,,1.0
180.0,CNO,5,,1.0
5.0,CNO,6,,0.0
10.0,CNO,6,,2.0
15.0,CNO,6,,7.0
20.0,CNO,6,,7.0
25.0,CNO,6,,8.0
30.0,CNO,6,,8.0
35.0,CNO,6,,10.0
40.0,CNO,6,,14.0
45.0,CNO,6,,10.0
50.0,CNO,6,,14.0
55.0,CNO,6,,12.0
60.0,CNO,6,,12.0
65.0,CNO,6,,11.0
70.0,CNO,6,,11.0
75.0,CNO,6,,14.0
80.0,CNO,6,,11.0
85.0,CNO,6,,10.0
90.0,CNO,6,,9.0
95.0,CNO,6,,10.0
100.0,CNO,6,,13.0
105.0,CNO,6,,13.0
110.0,CNO,6,,12.0
115.0,CNO,6,,14.0
120.0,CNO,6,,12.0
125.0,CNO,6,,8.0
130.0,CNO,6,,7.0
135.0,CNO,6,,6.0
140.0,CNO,6,,7.0
145.0,CNO,6,,8.0
150.0,CNO,6,,7.0
155.0,CNO,6,,9.0
160.0,CNO,6,,7.0
165.0,CNO,6,,6.0
170.0,CNO,6,,7.0
175.0,CNO,6,,6.0
180.0,CNO,6,,6.0
185.0,CNO,6,,6.0
190.0,CNO,6,,6.0
195.0,CNO,6,,6.0
200.0,CNO,6,,5.0
205.0,CNO,6,,5.0
210.0,CNO,6,,11.0
215.0,CNO,6,,5.0
220.0,CNO,6,,4.0
225.0,CNO,6,,4.0
230.0,CNO,6,,4.0
235.0,CNO,6,,4.0
240.0,CNO,6,,4.0
245.0,CNO,6,,4.0
250.0,CNO,6,,2.0
255.0,CNO,6,,2.0
260.0,CNO,6,,2.0
265.0,CNO,6,,4.0
270.0,CNO,6,,2.0
275.0,CNO,6,,2.0
280.0,CNO,6,,2.0
285.0,CNO,6,,2.0
290.0,CNO,6,,1.0
295.0,CNO,6,,1.0
300.0,CNO,6,,1.0
305.0,CNO,6,,1.0
310.0,CNO,6,,1.0
315.0,CNO,6,,1.0
320.0,CNO,6,,1.0
325.0,CNO,6,,1.0
330.0,CNO,6,,1.0
335.0,CNO,6,,1.0
340.0,CNO,6,,1.0
345.0,CNO,6,,3.0
350.0,CNO,6,,3.0
5.0,CNO,7,,0.0
10.0,CNO,7,,4.0
15.0,CNO,7,,8.0
20.0,CNO,7,,16.0
25.0,CNO,7,,7.0
30.0,CNO,7,,9.0
35.0,CNO,7,,7.0
40.0,CNO,7,,7.0
45.0,CNO,7,,9.0
50.0,CNO,7,,8.0
55.0,CNO,7,,9.0
60.0,CNO,7,,14.0
65.0,CNO,7,,24.0
70.0,CNO,7,,10.0
75.0,CNO,7,,9.0
80.0,CNO,7,,9.0
85.0,CNO,7,,8.0
90.0,CNO,7,,6.0
95.0,CNO,7,,5.0
100.0,CNO,7,,4.0
105.0,CNO,7,,4.0
110.0,CNO,7,,3.0
115.0,CNO,7,,1.0
120.0,CNO,7,,1.0
125.0,CNO,7,,1.0
130.0,CNO,7,,1.0
135.0,CNO,7,,1.0
140.0,CNO,7,,1.0
145.0,CNO,7,,1.0
150.0,CNO,7,,1.0
5.0,CNO,8,,0.0
10.0,CNO,8,,0.0
15.0,CNO,8,,3.0
20.0,CNO,8,,4.0
25.0,CNO,8,,7.0
30.0,CNO,8,,10.0
35.0,CNO,8,,10.0
40.0,CNO,8,,9.0
45.0,CNO,8,,10.0
50.0,CNO,8,,12.0
55.0,CNO,8,,12.0
60.0,CNO,8,,16.0
65.0,CNO,8,,16.0
70.0,CNO,8,,16.0
75.0,CNO,8,,16.0
80.0,CNO,8,,21.0
85.0,CNO,8,,16.0
90.0,CNO,8,,19.0
95.0,CNO,8,,14.0
100.0,CNO,8,,18.0
