radius_um,analysis_group,condition,replicate,sample_id,intersections,source_condition
10.0,Group I (Activation),DREADD_CNO,1,,2.0,DREADD/CNO
15.0,Group I (Activation),DREADD_CNO,1,,3.0,DREADD/CNO
20.0,Group I (Activation),DREADD_CNO,1,,5.0,DREADD/CNO
25.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
30.0,Group I (Activation),DREADD_CNO,1,,8.0,DREADD/CNO
35.0,Group I (Activation),DREADD_CNO,1,,8.0,DREADD/CNO
40.0,Group I (Activation),DREADD_CNO,1,,8.0,DREADD/CNO
45.0,Group I (Activation),DREADD_CNO,1,,8.0,DREADD/CNO
50.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
55.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
60.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
65.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
70.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
75.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
80.0,Group I (Activation),DREADD_CNO,1,,11.0,DREADD/CNO
85.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
90.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
95.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
100.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
105.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
110.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
115.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
120.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
125.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
130.0,Group I (Activation),DREADD_CNO,1,,10.0,DREADD/CNO
135.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
140.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
145.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
150.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
155.0,Group I (Activation),DREADD_CNO,1,,9.0,DREADD/CNO
160.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
165.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
170.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
175.0,Group I (Activation),DREADD_CNO,1,,6.0,DREADD/CNO
180.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
185.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
190.0,Group I (Activation),DREADD_CNO,1,,6.0,DREADD/CNO
195.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
200.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
205.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
210.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
215.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
220.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
225.0,Group I (Activation),DREADD_CNO,1,,7.0,DREADD/CNO
230.0,Group I (Activation),DREADD_CNO,1,,6.0,DREADD/CNO
235.0,Group I (Activation),DREADD_CNO,1,,6.0,DREADD/CNO
240.0,Group I (Activation),DREADD_CNO,1,,6.0,DREADD/CNO
245.0,Group I (Activation),DREADD_CNO,1,,5.0,DREADD/CNO
250.0,Group I (Activation),DREADD_CNO,1,,4.0,DREADD/CNO
255.0,Group I (Activation),DREADD_CNO,1,,3.0,DREADD/CNO
260.0,Group I (Activation),DREADD_CNO,1,,3.0,DREADD/CNO
265.0,Group I (Activation),DREADD_CNO,1,,3.0,DREADD/CNO
270.0,Group I (Activation),DREADD_CNO,1,,1.0,DREADD/CNO
10.0,Group I (Activation),DREADD_CNO,2,,2.0,DREADD/CNO
15.0,Group I (Activation),DREADD_CNO,2,,6.0,DREADD/CNO
20.0,Group I (Activation),DREADD_CNO,2,,6.0,DREADD/CNO
25.0,Group I (Activation),DREADD_CNO,2,,6.0,DREADD/CNO
30.0,Group I (Activation),DREADD_CNO,2,,6.0,DREADD/CNO
35.0,Group I (Activation),DREADD_CNO,2,,6.0,DREADD/CNO
40.0,Group I (Activation),DREADD_CNO,2,,7.0,DREADD/CNO
45.0,Group I (Activation),DREADD_CNO,2,,7.0,DREADD/CNO
50.0,Group I (Activation),DREADD_CNO,2,,8.0,DREADD/CNO
55.0,Group I (Activation),DREADD_CNO,2,,9.0,DREADD/CNO
60.0,Group I (Activation),DREADD_CNO,2,,9.0,DREADD/CNO
65.0,Group I (Activation),DREADD_CNO,2,,9.0,DREADD/CNO
